sku,title,primary_path,mottaro_path,is_multi_category
MK002-2-GRN,"Motarro Correction Tape – Green","Stationery > School & Office > Writing & Correction > Correction and Erasing","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-correction-erasing",yes
MI019-9-ORG,"MOTARRO KIDS SCISSORS CRAFT | ORANGE (MI019-9)","Stationery > School & Office > Cutting Tools","mottaro > mottaro-school-office > mottaro-cutting-tools",yes
MI070-3-BLU,"MOTARRO SCISSORS | 210mm | BLUE (MI070-3)","Stationery > School & Office > Cutting Tools","mottaro > mottaro-school-office > mottaro-cutting-tools",yes
MI034-1,"MOTARRO STAMP PAD INK | BLACK 30ml (MI034-1)","Stationery > School & Office > Stamps & Ink","mottaro > mottaro-school-office > mottaro-stamps-ink",yes
MC029-3-BLU,"Motarro Mechanical Pencil And Lead Refills – Blue, 0.5mm, 2 pcs","Stationery > School & Office > Writing & Correction > Pens and Pencils","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-pens-pencils",yes
ME036-6,"Motarro Embroidery Hoop – 400mm","Arts and Crafts > Crafts > Embroidery","mottaro > mottaro-crafts > mottaro-embroidery",yes
ME095-9,"Motarro LED Numbers Light – 22cm","Arts and Crafts > Crafts > Lights","mottaro > mottaro-crafts > mottaro-crafts-lights",yes
MQ021-BLU,"Motarro Expanding File – A4, Blue","Stationery > School & Office > Filing & Organisation","mottaro > mottaro-school-office > mottaro-filing-organisation",yes
MX032-3-BLU,"Motarro Double Zip Pencil Case – Blue, 22x9x6.5cm","Stationery > School & Office > Pencil Bags & Cases","mottaro > mottaro-school-office > mottaro-pencil-bags-cases",yes
MK002-2-BLU,"Motarro Correction Tape – Blue","Stationery > School & Office > Writing & Correction > Correction and Erasing","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-correction-erasing",yes
MQ057-2-BLU,"Motarro EVA Zipping Bag – A5, Blue, 235x175mm","Fashion & Accessories > Synthetic Bags > Handbags","mottaro > mottaro-other > mottaro-other-fashion",yes
MP130-13,"Motarro Canvas Stretch 30x40cm","Arts and Crafts > Art Supplies > Canvas > Stretch","mottaro > mottaro-art-supplies > mottaro-canvas > mottaro-canvas-stretch",yes
MK013-BLU,"Motarro Eraser With Cover – Blue, 3 pcs","Stationery > School & Office > Writing & Correction > Correction and Erasing","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-correction-erasing",yes
MP135-GRN,"Motarro Painting Apron – Green, 480x330mm","Arts and Crafts > Art Supplies > Aprons","mottaro > mottaro-art-supplies > mottaro-art-aprons",yes
MI127-1,"Motarro Paper Cutter Replacement Blades – A4","Stationery > School & Office > Cutting Tools","mottaro > mottaro-school-office > mottaro-cutting-tools",yes
MU168-1,"Motarro Glow In The Dark Stickers – 1 Sheet","Arts and Crafts > Crafts > Stickers","mottaro > mottaro-crafts > mottaro-stickers",yes
MP084,"Motarro Paintbrush – Synthetic Fiber, Set Of 3","Arts and Crafts > Art Supplies > Brushes & Applicators","mottaro > mottaro-art-supplies > mottaro-brushes-applicators",yes
MP069,"Motarro Easel – 120cm","Arts and Crafts > Art Supplies > Easels","mottaro > mottaro-art-supplies > mottaro-easels",yes
MU031-4,"Motarro Adhesive Labels – 5 Sheets","Stationery > School & Office > Labels & Notes","mottaro > mottaro-school-office > mottaro-labels-notes",yes
ME035-3,"Motarro Air Clay – White, 60g","Arts and Crafts > Art Supplies > Sculpting & Moulding > Clay","mottaro > mottaro-art-supplies > mottaro-sculpting-moulding > mottaro-clay",yes
MI019-6-GRN,"Motarro Kids Scissors – Green, 130cm","Stationery > School & Office > Cutting Tools","mottaro > mottaro-school-office > mottaro-cutting-tools",yes
ME095-Q,"Motarro LED Letter Light – 22cm","Arts and Crafts > Crafts > Lights","mottaro > mottaro-crafts > mottaro-crafts-lights",yes
MO007,"Motarro Blackboard – 30x40cm","Stationery > School & Office > Boards & Markers","mottaro > mottaro-school-office > mottaro-boards-markers",yes
MQ001-1-LPNK,"Motarro Clipboard – Light Pink, 315x225mm","Stationery > School & Office > Clipboards","mottaro > mottaro-school-office > mottaro-clipboards",yes
MP198-4,"Motarro Stretch Canvas – Fill In The Frame, With Paint And Paintbrush, Car, 20x20cm","Arts and Crafts > Art Supplies > Canvas > Stretch","mottaro > mottaro-art-supplies > mottaro-canvas > mottaro-canvas-stretch",yes
MU130-5,"Motarro Craft Stickers – Ball Outfit","Arts and Crafts > Crafts > Stickers","mottaro > mottaro-crafts > mottaro-stickers",yes
ME095-1,"Motarro LED Numbers Light – 22cm","Arts and Crafts > Crafts > Lights","mottaro > mottaro-crafts > mottaro-crafts-lights",yes
MP133-2,"Motarro Canvas Panel 24x18cm","Arts and Crafts > Art Supplies > Canvas > Panel","mottaro > mottaro-art-supplies > mottaro-canvas > mottaro-canvas-panel",yes
MU130-8,"Motarro Craft Stickers – Boat","Arts and Crafts > Crafts > Stickers","mottaro > mottaro-crafts > mottaro-stickers",yes
ME035-19,"Motarro Air Clay – Green, 60g","Arts and Crafts > Art Supplies > Sculpting & Moulding > Clay","mottaro > mottaro-art-supplies > mottaro-sculpting-moulding > mottaro-clay",yes
ME145-2,"Motarro Plasticine – 12 pcs","Arts and Crafts > Art Supplies > Sculpting & Moulding > Plasticine","mottaro > mottaro-art-supplies > mottaro-sculpting-moulding > mottaro-plasticine",yes
ME095-H,"Motarro LED Letter Light – 22cm","Arts and Crafts > Crafts > Lights","mottaro > mottaro-crafts > mottaro-crafts-lights",yes
MP169-3-DBLU,"Motarro Acrylic Paint – Metallic, Dark Blue, 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MO018,"Motarro Cork Board – 40x60cm","Stationery > School & Office","mottaro > mottaro-school-office",yes
MI035-2,"Motarro Ink Pad – Blue","Stationery > School & Office > Stamps & Ink","mottaro > mottaro-school-office > mottaro-stamps-ink",yes
MP125-2,"Motarro Watercolour Pad – 5 Sheets, 210x297mm","Arts and Crafts > Art Supplies > Sketch & Draw","mottaro > mottaro-art-supplies > mottaro-sketch-draw",yes
MX041-5-GRN,"Motarro Silicone Pencil Case – Shark, Green","Stationery > School & Office > Pencil Bags & Cases","mottaro > mottaro-school-office > mottaro-pencil-bags-cases",yes
MK011,"Motarro Transparent Glue – 60ml","Stationery > School & Office > Glues and Adhesive Tape > Glues","mottaro > mottaro-school-office > mottaro-glues-adhesive-tape > mottaro-glues",yes
MI020-6-BLU,"Motarro Stapler With Staples – Blue, 2 pcs","Stationery > School & Office > Stapling","mottaro > mottaro-school-office > mottaro-stapling",yes
ME227-1,"Motarro Cork Board For Crafts – 150x200mm","Stationery > School & Office","mottaro > mottaro-school-office",yes
ME130-4,"Motarro Wood Chips – 50-60mm 3 pcs","Arts and Crafts > Crafts > Wooden","mottaro > mottaro-crafts > mottaro-wooden",yes
ME130-6,"Motarro Wood Chips – 70-80mm","Arts and Crafts > Crafts > Wooden","mottaro > mottaro-crafts > mottaro-wooden",yes
MA005-11,"Motarro Safety Pins – Gold, 43mm, 30 pcs","Stationery > School & Office","mottaro > mottaro-school-office",yes
MA052-PUR,"Motarro Binder Clips Pack – Purple, 5 pcs","Stationery > School & Office > Fasteners & Clips","mottaro > mottaro-school-office > mottaro-fasteners-clips",yes
MC001-4,"Motarro Paint Marker – White, 3mm","Stationery > School & Office > Writing & Correction > Markers and Highlighters","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-markers-highlighters",yes
MP040-8,"Motarro Acrylic Paint – Lemon Yellow, 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MP135-RED,"Motarro Painting Apron – Red, 480x330mm","Arts and Crafts > Art Supplies > Aprons","mottaro > mottaro-art-supplies > mottaro-art-aprons",yes
MP004-1,"Motarro Woodless Charcoal Pencils – 3 pcs","Arts and Crafts > Art Supplies > Sketch & Draw","mottaro > mottaro-art-supplies > mottaro-sketch-draw",yes
ME035-21,"Motarro Air Clay – Lime Green, 60g","Arts and Crafts > Art Supplies > Sculpting & Moulding > Clay","mottaro > mottaro-art-supplies > mottaro-sculpting-moulding > mottaro-clay",yes
MP130-28,"Motarro Canvas Stretch 100x100cm","Arts and Crafts > Art Supplies > Canvas > Stretch","mottaro > mottaro-art-supplies > mottaro-canvas > mottaro-canvas-stretch",yes
MP165-15,"Motarro Canvas Box 40x60cm","Arts and Crafts > Art Supplies > Canvas > Box","mottaro > mottaro-art-supplies > mottaro-canvas > mottaro-canvas-box",yes
ME136-7,"Motarro Painting Mask – White, 19x10cm","Arts and Crafts > Crafts > Masks","mottaro > mottaro-crafts > mottaro-masks",yes
ME136-4,"Motarro Painting Mask – White, 19x13cm","Arts and Crafts > Crafts > Masks","mottaro > mottaro-crafts > mottaro-masks",yes
ME095-3,"Motarro LED Numbers Light – 22cm","Arts and Crafts > Crafts > Lights","mottaro > mottaro-crafts > mottaro-crafts-lights",yes
ME185-1,"Motarro Playdough And Accessory – 6+5 pcs","Arts and Crafts > Art Supplies > Sculpting & Moulding > Playdough","mottaro > mottaro-art-supplies > mottaro-sculpting-moulding > mottaro-playdough",yes
MU169-8,"Motarro Glitter Stickers – 1 Sheet","Arts and Crafts > Crafts > Stickers","mottaro > mottaro-crafts > mottaro-stickers",yes
ME095-@,"Motarro LED Sign Light – 22cm","Arts and Crafts > Crafts > Lights","mottaro > mottaro-crafts > mottaro-crafts-lights",yes
ME095-G,"Motarro LED Letter Light – G, 22cm","Arts and Crafts > Crafts > Lights","mottaro > mottaro-crafts > mottaro-crafts-lights",yes
ME130-3,"Motarro Wood Chips – 40-50mm 4 pcs","Arts and Crafts > Crafts > Wooden","mottaro > mottaro-crafts > mottaro-wooden",yes
ME095-I,"Motarro LED Letter Light – 22cm","Arts and Crafts > Crafts > Lights","mottaro > mottaro-crafts > mottaro-crafts-lights",yes
MP061-2,"Motarro Retractable Brush Cleaner","Arts and Crafts > Art Supplies > Painting Palettes","mottaro > mottaro-art-supplies > mottaro-painting-palettes",yes
MA040-2,"Motarro Magnetic Lowercase Letters – 26 pcs","Stationery > School & Office","mottaro > mottaro-school-office",yes
MO029-3,"Motarro Whiteboard – 30x40cm","Stationery > School & Office > Boards & Markers","mottaro > mottaro-school-office > mottaro-boards-markers",yes
MP165-11,"Motarro Canvas Box 30x40cm","Arts and Crafts > Art Supplies > Canvas > Box","mottaro > mottaro-art-supplies > mottaro-canvas > mottaro-canvas-box",yes
MA024-10,"Motarro Magnets – 2 pcs","Stationery > School & Office > Magnets","mottaro > mottaro-school-office > mottaro-magnets",yes
MP154-4,"MOTARRO PAINTBRUSH | SET OF 3 (MP154-4)","Arts and Crafts > Art Supplies > Brushes & Applicators","mottaro > mottaro-art-supplies > mottaro-brushes-applicators",yes
MK028-1,"MOTARRO METAL SHARPENER 24PCS (MK028-1)","Beads > Beads By Material > Beads","mottaro > mottaro-other > mottaro-other-beads",yes
MP145-8,"MOTARRO PAINTING PALETTE | 170x230mm | 10 GRIDS (MP145-8)","Arts and Crafts > Art Supplies > Painting Palettes","mottaro > mottaro-art-supplies > mottaro-painting-palettes",yes
MF001-6,"MOTARRO ELASTIC BAND | 80mm | 37PCS (MF001-6)","Jewellery > Findings > Stringing Materials > Elastic","mottaro > mottaro-other > mottaro-other-beads",yes
MP145-6,"MOTARRO PAINTING PALETTE | 170mm | 11 GRIDS (MP145-6)","Arts and Crafts > Art Supplies > Painting Palettes","mottaro > mottaro-art-supplies > mottaro-painting-palettes",yes
MI026-2,"MOTARRO METALLIC BELL | 12x6.5cm (MI026-2)","Beads > Beads By Material > Beads","mottaro > mottaro-other > mottaro-other-beads",yes
ME400-2,"MOTARRO AIR CLAY | 240g | 24PCS (ME400-2)","Arts and Crafts > Art Supplies > Sculpting & Moulding > Clay","mottaro > mottaro-art-supplies > mottaro-sculpting-moulding > mottaro-clay",yes
MP169-2-OPNK,"MOTARRO ACRYLIC PAINT | FLUORESCENT | ORANGE PINK | 75ml (MP169-2)","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
ME119-8,"MOTARRO FELT BAG | ORANGE | 25x30cm | 70g | 5PCS (ME119-8)","Arts and Crafts > Crafts > Felt Bags","mottaro > mottaro-crafts > mottaro-felt-bags",yes
MU132-2,"Motarro Craft Stickers – Letters","Arts and Crafts > Crafts > Stickers","mottaro > mottaro-crafts > mottaro-stickers",yes
MC031-7,"MOTARRO PERMANENT MARKER | BLACK | 3mm | 3PCS (MC031-7)","Stationery > School & Office > Writing & Correction > Markers and Highlighters","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-markers-highlighters",yes
MP172-3,"MOTARRO TEMPERA SET PAINT | METAL COLOURS | 6x15ml (MP172-3)","Beads > Beads By Material > Beads","mottaro > mottaro-other > mottaro-other-beads",yes
ME119-2,"MOTARRO FELT BAG | WHITE | 25x30cm | 70g | 5PCS (ME119-2)","Arts and Crafts > Crafts > Felt Bags","mottaro > mottaro-crafts > mottaro-felt-bags",yes
MP064,"MOTARRO EASEL | 30cm  (MP064)","Arts and Crafts > Art Supplies > Easels","mottaro > mottaro-art-supplies > mottaro-easels",yes
MC033-2,"MOTARRO PERMANENT MARKER | DOUBLE SIDED | BLACK | 6.5mm AND 2.5mm | 3PCS (MC033-2)","Stationery > School & Office > Writing & Correction > Markers and Highlighters","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-markers-highlighters",yes
MP040-12,"MOTARRO ACRYLIC PAINT | AZURE | 75ml (MP040-12)","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MP169-2-ORG,"MOTARRO ACRYLIC PAINT | FLUORESCENT | ORANGE | 75ml (MP169-2)","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MP169-2-PUR,"MOTARRO ACRYLIC PAINT | FLUORESCENT | PURPLE | 75ml (MP169-2)","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MU167-1,"Motarro Stickers Relief – 1 Sheet","Arts and Crafts > Crafts > Stickers","mottaro > mottaro-crafts > mottaro-stickers",yes
MA024-8,"Motarro Magnets – 5 pcs","Stationery > School & Office > Magnets","mottaro > mottaro-school-office > mottaro-magnets",yes
MU031-3,"Motarro Adhesive Labels – 5 Sheets","Stationery > School & Office > Labels & Notes","mottaro > mottaro-school-office > mottaro-labels-notes",yes
MA005-10,"Motarro Safety Pins – Gold, 36mm, 40 pcs","Stationery > School & Office","mottaro > mottaro-school-office",yes
MI031-1,"Motarro Folder Fasteners – 6 pcs","Stationery > School & Office > Fasteners & Clips","mottaro > mottaro-school-office > mottaro-fasteners-clips",yes
MI020-8-RED,"Motarro Stapler W/staples – Red, 6mm, 2 pcs","Stationery > School & Office > Stapling","mottaro > mottaro-school-office > mottaro-stapling",yes
MI007-4,"Motarro Desk Organiser – Black, 10x15x10cm","Stationery > School & Office > Desk Organisers","mottaro > mottaro-school-office > mottaro-desk-organisers",yes
MA004-3,"Motarro Paperclips – 51mm, 10 pcs","Stationery > School & Office","mottaro > mottaro-school-office",yes
MI035-1,"Motarro Ink Pad – Black","Stationery > School & Office > Stamps & Ink","mottaro > mottaro-school-office > mottaro-stamps-ink",yes
ME395-4,"Motarro Crepe Paper – Pink, 35x10mm, 4 pcs","Arts and Crafts > Crafts > Shredded and Crepe","mottaro > mottaro-crafts > mottaro-shredded-crepe",yes
MC009-8,"Motarro Ballpoint Pen – Blue, 1.0mm, 50 pcs","Stationery > School & Office > Writing & Correction > Pens and Pencils","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-pens-pencils",yes
MO001-6,"Motarro Jumbo Colour Chalk – 10cm, 6 pcs","Stationery > School & Office > Writing & Correction > Colour Pencils and Crayons","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-colour-pencils-crayons",yes
MU167-4,"Motarro Stickers Relief – 1 Sheet","Arts and Crafts > Crafts > Stickers","mottaro > mottaro-crafts > mottaro-stickers",yes
MA055-PNK,"Motarro Pencil Sharpener – Pink, 58mm, 3 pcs","Stationery > School & Office > Sharpeners","mottaro > mottaro-school-office > mottaro-sharpeners",yes
MP040-4,"Motarro Acrylic Paint – Pink, 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MP131,"Motarro Painting Apron – 650x580mm","Arts and Crafts > Art Supplies > Aprons","mottaro > mottaro-art-supplies > mottaro-art-aprons",yes
MYD066-6,"Motarro Self Adhesive Labels – Red, 5 Sheets","Stationery > School & Office > Labels & Notes","mottaro > mottaro-school-office > mottaro-labels-notes",yes
MI020-8-BLK,"Motarro Stapler With Staples – Black, 6mm, 2 pcs","Stationery > School & Office > Stapling","mottaro > mottaro-school-office > mottaro-stapling",yes
MYD066-3,"Motarro Self Adhesive Labels – Yellow, 5 Sheets","Stationery > School & Office > Labels & Notes","mottaro > mottaro-school-office > mottaro-labels-notes",yes
MI022-2-BLU,"Motarro Staple Remover – Blue","Stationery > School & Office","mottaro > mottaro-school-office",yes
ME039-1,"Motarro Silicone Bars Hot Glue Sticks – 10 pcs","Stationery > School & Office > Glues and Adhesive Tape > Glues","mottaro > mottaro-school-office > mottaro-glues-adhesive-tape > mottaro-glues",yes
MQ029-PNK,"Motarro Expanding File – A4, Pink","Stationery > School & Office > Filing & Organisation","mottaro > mottaro-school-office > mottaro-filing-organisation",yes
ME035-5,"Motarro Air Clay – Dark Pink, 60g","Arts and Crafts > Art Supplies > Sculpting & Moulding > Clay","mottaro > mottaro-art-supplies > mottaro-sculpting-moulding > mottaro-clay",yes
MI001-3,"Motarro Magnifying Glass – 15cm","Stationery > School & Office","mottaro > mottaro-school-office",yes
MI083-4,"Motarro Soft Ruler – 20cm, 4 pcs","Stationery > School & Office > Measuring & Viewing","mottaro > mottaro-school-office > mottaro-measuring-viewing",yes
MO027-3,"Motarro Tripod Blackboard – 36x20cm","Stationery > School & Office > Boards & Markers","mottaro > mottaro-school-office > mottaro-boards-markers",yes
MC158,"Motarro Metallic Colour Pen – 0.7mm, 4 pcs","Stationery > School & Office > Writing & Correction > Pens and Pencils","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-pens-pencils",yes
MU289-4,"Motarro Craft Stickers – Space","Arts and Crafts > Crafts > Stickers","mottaro > mottaro-crafts > mottaro-stickers",yes
ME395-11,"Motarro Crepe Paper – Light Brown, 35x10mm, 4 pcs","Arts and Crafts > Crafts > Shredded and Crepe","mottaro > mottaro-crafts > mottaro-shredded-crepe",yes
MQ057-5-BLK,"Motarro EVA Zipping Bag – Black, 290x223mm","Fashion & Accessories > Synthetic Bags > Handbags","mottaro > mottaro-other > mottaro-other-fashion",yes
MI088-4-PNK,"Motarro A4 Paper Cutter Trimmer – Pink","Stationery > School & Office > Cutting Tools","mottaro > mottaro-school-office > mottaro-cutting-tools",yes
ME046-14,"Motarro Assorted Stamps – 25mm, 6 pcs","Stationery > School & Office > Stamps & Ink","mottaro > mottaro-school-office > mottaro-stamps-ink",yes
ME095-P,"Motarro LED Letter Light – 22cm","Arts and Crafts > Crafts > Lights","mottaro > mottaro-crafts > mottaro-crafts-lights",yes
ME035-7,"Motarro Air Clay – Pink, 60g","Arts and Crafts > Art Supplies > Sculpting & Moulding > Clay","mottaro > mottaro-art-supplies > mottaro-sculpting-moulding > mottaro-clay",yes
MP040-22,"Motarro Acrylic Paint – Grey, 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
ME035-16,"Motarro Air Clay – Dark Blue, 60g","Arts and Crafts > Art Supplies > Sculpting & Moulding > Clay","mottaro > mottaro-art-supplies > mottaro-sculpting-moulding > mottaro-clay",yes
MP080-PNK,"Motarro Brush Wash Cup – Pink","Arts and Crafts > Art Supplies > Painting Palettes","mottaro > mottaro-art-supplies > mottaro-painting-palettes",yes
MQ057-6-PNK,"Motarro EVA Zipping Bag – Pink, 200x145mm","Fashion & Accessories > Synthetic Bags > Handbags","mottaro > mottaro-other > mottaro-other-fashion",yes
MI107-30-BLU,"Motarro Soft Ruler – Blue, 30cm","Stationery > School & Office > Measuring & Viewing","mottaro > mottaro-school-office > mottaro-measuring-viewing",yes
MC008-2,"Motarro Ballpoint Pen – Black, 1.0mm, 2 pcs","Stationery > School & Office > Writing & Correction > Pens and Pencils","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-pens-pencils",yes
MP169-3-TUR,"Motarro Acrylic Paint – Metallic, Turquoise, 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MA005-4,"Motarro Safety Pins – Silver, 36mm, 40 pcs","Stationery > School & Office","mottaro > mottaro-school-office",yes
MC111-3,"Motarro Gel Pen – Ice Cream, 0.5mm","Stationery > School & Office > Writing & Correction > Pens and Pencils","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-pens-pencils",yes
MP156-PNK,"Motarro Painting Apron – Pink, 600x430mm","Arts and Crafts > Art Supplies > Aprons","mottaro > mottaro-art-supplies > mottaro-art-aprons",yes
MQ057-1-PNK,"Motarro EVA Zipping Bag – A4, Pink, 355x255mm","Fashion & Accessories > Synthetic Bags > Handbags","mottaro > mottaro-other > mottaro-other-fashion",yes
MC030-2,"Motarro Lead Refills – 0.7mm, 2x20 pcs","Stationery > School & Office","mottaro > mottaro-school-office",yes
MR004-1,"Motarro Compass – 60mm","Stationery > School & Office","mottaro > mottaro-school-office",yes
MI050-2,"Motarro Assorted Template – Orange, 20cm","Stationery > School & Office","mottaro > mottaro-school-office",yes
MC127-7,"Motarro Erasable Pen – Blue, 0.7mm","Stationery > School & Office > Writing & Correction > Pens and Pencils","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-pens-pencils",yes
MYD066-1,"Motarro Self Adhesive Labels – Black, 5 Sheets","Stationery > School & Office > Labels & Notes","mottaro > mottaro-school-office > mottaro-labels-notes",yes
ME137-25,"Motarro EVA Sponge A4 – 10 pcs","Arts and Crafts > Crafts > Craft Boards & Supplies","mottaro > mottaro-crafts > mottaro-craft-boards-supplies",yes
MK018-2,"Motarro Eraser – 5 pcs","Stationery > School & Office > Writing & Correction > Correction and Erasing","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-correction-erasing",yes
MI001-6,"Motarro Folding Magnifying Glass – 14.8cm","Stationery > School & Office","mottaro > mottaro-school-office",yes
MO012,"Motarro Whiteboard – 30x40cm","Stationery > School & Office > Boards & Markers","mottaro > mottaro-school-office > mottaro-boards-markers",yes
ME035-22,"Motarro Air Clay – Mint Green, 60g","Arts and Crafts > Art Supplies > Sculpting & Moulding > Clay","mottaro > mottaro-art-supplies > mottaro-sculpting-moulding > mottaro-clay",yes
MI027-3-RED,"Motarro Deposit Box – Red, 8.5x20x16cm","Stationery > School & Office","mottaro > mottaro-school-office",yes
ME035-24,"Motarro Air Clay – Orange, 60g","Arts and Crafts > Art Supplies > Sculpting & Moulding > Clay","mottaro > mottaro-art-supplies > mottaro-sculpting-moulding > mottaro-clay",yes
ME139-2,"Motarro – Crepe Filament Paper, Dark Pink, 20g","Arts and Crafts > Crafts > Shredded and Crepe","mottaro > mottaro-crafts > mottaro-shredded-crepe",yes
ME035-17,"Motarro Air Clay – Brown, 60g","Arts and Crafts > Art Supplies > Sculpting & Moulding > Clay","mottaro > mottaro-art-supplies > mottaro-sculpting-moulding > mottaro-clay",yes
MP040-14,"Motarro Acrylic Paint – Ultramarine, 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MP172-4,"Motarro Tempera Set Paint – Glitter Colours, 6x15ml","Arts and Crafts > Art Supplies > Paints > Tempera","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-tempera",yes
MP057,"Motarro Oil Colour Paint – 12ml, Box Of 12","Arts and Crafts > Art Supplies > Paints > Oil","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-oil",yes
MP003-2,"Motarro Compressed Graphite – 6.5mm, 6 pcs","Stationery > School & Office","mottaro > mottaro-school-office",yes
MP003-1,"Motarro Compressed Graphite – 6.5mm, 6 pcs","Stationery > School & Office","mottaro > mottaro-school-office",yes
ME151-4,"Motarro EVA Sponge – A4, Pink Glitter, 10 pcs","Arts and Crafts > Crafts > Craft Boards & Supplies","mottaro > mottaro-crafts > mottaro-craft-boards-supplies",yes
ME151-5,"Motarro EVA Sponge – A4, Pink Glitter, 10 pcs","Arts and Crafts > Crafts > Craft Boards & Supplies","mottaro > mottaro-crafts > mottaro-craft-boards-supplies",yes
MI054,"Motarro – Cutter, 3 pcs","Stationery > School & Office","mottaro > mottaro-school-office",yes
MQ021-PUR,"Motarro Expanding File – A4, Purple","Stationery > School & Office > Filing & Organisation","mottaro > mottaro-school-office > mottaro-filing-organisation",yes
MT008-2,"Motarro Double-Sided Adhesive Nano Tape – 19x2mm","Stationery > School & Office > Glues and Adhesive Tape > Adhesives and Holders","mottaro > mottaro-school-office > mottaro-glues-adhesive-tape > mottaro-adhesives-holders",yes
MT012-5,"Motarro Dispenser Transparent Tape – 15x15mm","Stationery > School & Office > Glues and Adhesive Tape > Adhesives and Holders","mottaro > mottaro-school-office > mottaro-glues-adhesive-tape > mottaro-adhesives-holders",yes
MC016-1,"Motarro Liquid Ink Pen – Black, 0.5mm","Stationery > School & Office > Writing & Correction > Pens and Pencils","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-pens-pencils",yes
MC096-1,"Motarro Colour Pencils – 12 Colours","Stationery > School & Office > Writing & Correction > Colour Pencils and Crayons","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-colour-pencils-crayons",yes
ME151-2,"Motarro EVA Sponge – A4, Orange Glitter, 10 pcs","Arts and Crafts > Crafts > Craft Boards & Supplies","mottaro > mottaro-crafts > mottaro-craft-boards-supplies",yes
MK009-8,"Motarro Glue Stick – 36g","Stationery > School & Office > Glues and Adhesive Tape > Glues","mottaro > mottaro-school-office > mottaro-glues-adhesive-tape > mottaro-glues",yes
ME130-9,"Motarro Wood Chip 120-130mm","Arts and Crafts > Crafts > Wooden","mottaro > mottaro-crafts > mottaro-wooden",yes
ME417-3,"Motarro Purpurinas Glitter – 5g, 5 pcs","Arts and Crafts > Crafts > Decorative Items","mottaro > mottaro-crafts > mottaro-decorative-items",yes
MC036-4,"Motarro Whiteboard Marker – Green, 3mm","Stationery > School & Office > Writing & Correction > Markers and Highlighters","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-markers-highlighters",yes
MP040-1,"Motarro Acrylic Paint – Black, 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MK028,"Motarro Metal Sharpener 2 pcs","Stationery > School & Office > Sharpeners","mottaro > mottaro-school-office > mottaro-sharpeners",yes
MI020-6-BLK,"Motarro Stapler With Staples – Black, 2 pcs","Stationery > School & Office > Stapling","mottaro > mottaro-school-office > mottaro-stapling",yes
MP155-5,"Motarro Canvas Stretch With Tripod – 18x24cm","Arts and Crafts > Art Supplies > Canvas > Stretch","mottaro > mottaro-art-supplies > mottaro-canvas > mottaro-canvas-stretch",yes
MP154-5,"Motarro Kids Paint Brush – Set Of 3","Arts and Crafts > Art Supplies > Brushes & Applicators","mottaro > mottaro-art-supplies > mottaro-brushes-applicators",yes
