sku,title,primary_path,mottaro_path,is_multi_category
MQ001-1-GRN,"Motarro Clipboard – Green, 315x225mm","Stationery > School & Office > Clipboards","mottaro > mottaro-school-office > mottaro-clipboards",yes
MP040-18,"Motarro Acrylic Paint – Deep Purple, 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
ME151-10,"Motarro EVA Sponge – A4, Green Glitter, 10 pcs","Arts and Crafts > Crafts > Craft Boards & Supplies","mottaro > mottaro-crafts > mottaro-craft-boards-supplies",yes
ME139-7,"Motarro – Crepe Filament Paper, Yellow, 20g","Arts and Crafts > Crafts > Shredded and Crepe","mottaro > mottaro-crafts > mottaro-shredded-crepe",yes
MP040-3,"Motarro Acrylic Royal Scarlet – 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
ME095-Y,"Motarro LED Letter Light – 22cm","Arts and Crafts > Crafts > Lights","mottaro > mottaro-crafts > mottaro-crafts-lights",yes
MC044-4,"Motarro Permanent Marker – Double Sided, 0.5mm And 2-3mm, 4 pcs","Stationery > School & Office > Writing & Correction > Markers and Highlighters","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-markers-highlighters",yes
MC002-3,"Motarro Paint Marker – Black, 0.7mm","Stationery > School & Office > Writing & Correction > Markers and Highlighters","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-markers-highlighters",yes
MU162-1,"Motarro Tracing Paper – A4, 24 Sheets, 210x297mm","Arts and Crafts > Art Supplies > Sketch & Draw","mottaro > mottaro-art-supplies > mottaro-sketch-draw",yes
MP199-1,"Motarro Stretch Canvas – Fill In The Frame, With Paint And Paintbrush, Giraffe, 20x25cm","Arts and Crafts > Art Supplies > Canvas > Stretch","mottaro > mottaro-art-supplies > mottaro-canvas > mottaro-canvas-stretch",yes
ME227-3,"Motarro Cork Board For Crafts – 300x400mm","Stationery > School & Office","mottaro > mottaro-school-office",yes
